frame,change_score,event_threshold,approximate_event
0,0.0,0.16826305420357449,0
1,0.0,0.16826305420357449,0
2,0.0,0.16826305420357449,0
3,0.03015113445777636,0.16826305420357449,0
4,0.03015113445777636,0.16826305420357449,0
5,0.034815531191139566,0.16826305420357449,0
6,0.024618298195866545,0.16826305420357449,0
7,0.03892494720807615,0.16826305420357449,0
8,0.034815531191139566,0.16826305420357449,0
9,0.046056618647183835,0.16826305420357449,0
10,0.03892494720807615,0.16826305420357449,0
11,0.034815531191139566,0.16826305420357449,0
12,0.0,0.16826305420357449,0
13,0.017407765595569783,0.16826305420357449,0
14,0.024618298195866545,0.16826305420357449,0
15,0.024618298195866545,0.16826305420357449,0
16,0.024618298195866545,0.16826305420357449,0
17,0.024618298195866545,0.16826305420357449,0
18,0.024618298195866545,0.16826305420357449,0
19,0.03015113445777636,0.16826305420357449,0
20,0.024618298195866545,0.16826305420357449,0
21,0.017407765595569783,0.16826305420357449,0
22,0.024618298195866545,0.16826305420357449,0
23,0.024618298195866545,0.16826305420357449,0
24,0.024618298195866545,0.16826305420357449,0
25,0.0,0.16826305420357449,0
26,0.03015113445777636,0.16826305420357449,0
27,0.034815531191139566,0.16826305420357449,0
28,0.034815531191139566,0.16826305420357449,0
29,0.017407765595569783,0.16826305420357449,0
30,0.017407765595569783,0.16826305420357449,0
31,0.017407765595569783,0.16826305420357449,0
32,0.017407765595569783,0.16826305420357449,0
33,0.017407765595569783,0.16826305420357449,0
34,0.046056618647183835,0.16826305420357449,0
35,0.07385489458759964,0.16826305420357449,0
36,0.08164965809277261,0.16826305420357449,0
37,0.07977240352174657,0.16826305420357449,0
38,0.046056618647183835,0.16826305420357449,0
39,0.034815531191139566,0.16826305420357449,0
40,0.046056618647183835,0.16826305420357449,0
41,0.04923659639173309,0.16826305420357449,0
42,0.04923659639173309,0.16826305420357449,0
43,0.05773502691896258,0.16826305420357449,0
44,0.05222329678670935,0.16826305420357449,0
45,0.04923659639173309,0.16826305420357449,0
46,0.04264014327112209,0.16826305420357449,0
47,0.05222329678670935,0.16826305420357449,0
48,0.03892494720807615,0.16826305420357449,0
49,0.05222329678670935,0.16826305420357449,0
50,0.06513389472789297,0.16826305420357449,0
51,0.07385489458759964,0.16826305420357449,0
52,0.06741998624632421,0.16826305420357449,0
53,0.06030226891555272,0.16826305420357449,0
54,0.06513389472789297,0.16826305420357449,0
55,0.046056618647183835,0.16826305420357449,0
56,0.04264014327112209,0.16826305420357449,0
57,0.024618298195866545,0.16826305420357449,0
58,0.024618298195866545,0.16826305420357449,0
59,0.03015113445777636,0.16826305420357449,0
60,0.03015113445777636,0.16826305420357449,0
61,0.03015113445777636,0.16826305420357449,0
62,0.024618298195866545,0.16826305420357449,0
63,0.03892494720807615,0.16826305420357449,0
64,0.04264014327112209,0.16826305420357449,0
65,0.03892494720807615,0.16826305420357449,0
